时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,天津市,汉沽,4,19,8.5,20
1981年-2010年,天津市,汉沽,5,24.7,14.5,38.3
1981年-2010年,天津市,汉沽,6,28.2,19.5,71.9
1981年-2010年,天津市,汉沽,7,29.9,22.7,157.8
1981年-2010年,天津市,汉沽,8,29.6,21.9,137.6
1981年-2010年,天津市,汉沽,9,25.9,16.3,49
1981年-2010年,天津市,汉沽,10,19.2,8.9,30.3
1981年-2010年,天津市,汉沽,11,10,0.4,10.6
1981年-2010年,天津市,汉沽,12,3.1,-5.9,4.6
1981年-2010年,天津市,蓟州,1,1.5,-8.5,3.2
1981年-2010年,天津市,蓟州,2,5.4,-5,4.4
1981年-2010年,天津市,蓟州,3,12,1.1,10.5
1981年-2010年,天津市,蓟州,4,20.6,8.8,22.8
1981年-2010年,天津市,蓟州,5,26.5,14.8,40.1
1981年-2010年,天津市,蓟州,6,30.3,19.7,90.2
1981年-2010年,天津市,蓟州,7,31.1,22.6,178
1981年-2010年,天津市,蓟州,8,30.3,21.7,165.1
1981年-2010年,天津市,蓟州,9,26.3,16.1,61.3
1981年-2010年,天津市,蓟州,10,19.3,8.7,26
1981年-2010年,天津市,蓟州,11,9.9,0.3,10.1
1981年-2010年,天津市,蓟州,12,3.2,-5.7,3.7
1981年-2010年,天津市,津南,1,1.6,-7.7,2.9
1981年-2010年,天津市,津南,2,5.3,-4.8,4.5
1981年-2010年,天津市,津南,3,11.7,1.2,8.8
1981年-2010年,天津市,津南,4,20.4,8.8,21.3
1981年-2010年,天津市,津南,5,26.1,14.7,40.1
1981年-2010年,天津市,津南,6,29.7,19.7,78.8
1981年-2010年,天津市,津南,7,30.9,22.8,142.6
1981年-2010年,天津市,津南,8,30.2,21.9,131.2
1981年-2010年,天津市,津南,9,26.5,16.4,48.5
1981年-2010年,天津市,津南,10,19.8,9.1,28.2
1981年-2010年,天津市,津南,11,10.5,0.9,10.8
1981年-2010年,天津市,津南,12,3.6,-5,3.5
1981年-2010年,天津市,静海,1,2,-7.7,3
1981年-2010年,天津市,静海,2,5.9,-4.6,4.7
